,Experiment,NEB in Pmix,[PMix] (mg/mL),[Ribosome] (uM),[tRNA] (ug/uL),[DNA] (nM),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[Potassium glutamate] (mM),[ATP] (mM),[GTP] (mM),[Amino acid mix] (mM),[PPK] (uM),[PolyP] (mM),[RNase Inhib] (U/mL),Reader Type,Gain,Read Type,[PEG] (%),Product,Condition,success prediction,sigmoid_steady_state prediction,sigmoid_rate (1/h) prediction,drift_rate (1/h) prediction,success uncertainty,sigmoid_steady_state uncertainty,sigmoid_rate (1/h) uncertainty,drift_rate (1/h) uncertainty
ges_001,20260319-DiscoveryPlate-R2,False,1.7997157010608826,3.5999999820941846,4.459249349518372,9.39548393977551,5.000000060717328,54.32677382081672,98.5399913283368,1.1999999989185226,0.9249999916833445,0.1841794439873673,-3.1455687221626505e-09,-5.983451956126373e-08,1999.9999895725628,Cytation5,ext,M,-2.1397461580363597e-09,deGFP,Labcraft,0.39190748,0.8591613395879529,5.031654539904618,0.012596094473709017,0.38558745,0.4616786352950731,1.1465821349089713,0.013874424222233853
ges_002,20260319-DiscoveryPlate-R2,False,2.0741698577944394,3.3730956794277125,3.8843809745601607,14.08571655816096,31.250000264834878,62.11214407454662,149.03334159421513,1.1999999989185226,0.9638015445891122,0.17002570200112735,-3.1455687221626505e-09,-5.983451956126373e-08,1999.9999895725628,Cytation5,ext,M,-2.1397461580363597e-09,deGFP,Labcraft,0.98353165,0.8488838531573225,4.045813926386403,0.0021315626543482852,0.10464868,0.39799757046781803,0.9425725883481599,0.011206291767718543
ges_003,20260319-DiscoveryPlate-R2,False,1.8458742633618723,3.5999999820941846,4.646249972095965,9.198852706662134,5.000000060717328,48.840603302738614,102.41267886790973,3.4017806377190265,0.9249999916833445,0.08837499564719437,-3.1455687221626505e-09,-5.983451956126373e-08,1999.9999895725628,Cytation5,ext,M,-2.1397461580363597e-09,deGFP,Labcraft,0.64468336,0.8215397024718326,2.986588015582794,0.026110265957119516,0.37886992,0.46439486380595,1.196435911316891,0.015717187004689152
ges_004,20260319-DiscoveryPlate-R2,False,1.8969601705480084,3.01888176262515,3.4183418497738236,8.46985077351217,5.000000060717328,43.05328784275693,108.63359334003285,1.1999999989185226,1.4396287645998194,0.28545755282265783,-3.1455687221626505e-09,-5.983451956126373e-08,1999.9999895725628,Cytation5,ext,M,-2.1397461580363597e-09,deGFP,Labcraft,0.70438915,0.8011220336797953,4.473661453869569,0.007283987462089424,0.30007812,0.3224563141772236,0.8157370996284583,0.008133597234088125
ges_005,20260319-DiscoveryPlate-R2,False,1.8662661962201001,2.6427344910412085,3.877762004305514,7.661617820771701,5.000000060717328,35.73837707929107,105.9492966333843,1.1999999989185226,1.641993679698046,0.46112499366537607,-3.1455687221626505e-09,-5.983451956126373e-08,1999.9999895725628,Cytation5,ext,M,-2.1397461580363597e-09,deGFP,Labcraft,0.9956251,0.7774089199966369,2.2125440305109265,0.01433797510279186,0.011230491,0.32881533728800244,0.8524449610839777,0.00782448661496288
lb,20260319-DiscoveryPlate-R2,False,1.404794156,1.4399999387499998,0.70875,2.0,5.0,0.0,0.0,1.2,0.925,0.08837499999999998,0.0,0.0,2000.0,Cytation5,ext,M,0.0,deGFP,Labcraft,,,,,,,,
ub,20260319-DiscoveryPlate-R2,False,2.1560290880000004,3.6000000122500007,4.646250000000001,24.9999987625,31.25,125.0,240.0,4.2,3.775,0.461125,0.0,0.0,2000.0,Cytation5,ext,M,0.0,deGFP,Labcraft,,,,,,,,
