,DNA,PEG4K 40%,RNAse inhibitor,NEB,AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,AK,NDK,PPiase,T7RNAP,Ribosome,Magnesium acetate,Creatine phosphate,PPK,PolyP,Read_GFP-F-G35,Read_GFP-Gext,Read_GFP-M-G100,Product_plamGFP
min,5.725714286,0.0,0.0,0.0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,6.25,2.0,5.0,1.0,141.1975102,3.936612245,44.35334694,16.2717551,2.362285714,7.610571429,25.4582449,19.422,1.574326531,80.83506122,8.135877551,12.86044898,4.724571429,34.3804898,20.20836735,3.936612245,12.59779592,12.59779592,1.311673469,3.673959184,20.20836735,80.83506122,20.20836735,101.0434286,1009.38049,101.0434286,20.20836735,20.20836735,20.20836735,20.20836735,40.41673469,8.135877551,6.036244898,2.099632653,2.099632653,20.20836735,3.24,20.0,20.0,2.0,30.0,1.0,1.0,1.0,1.0
