

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250612-cytation3-pure-timecourse-gfp-ppk.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/12/2025
Time	4:17:45 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																			SPL1		SPL1		SPL1		Well ID
B																									Well ID
C																			SPL2		SPL2		SPL2		Well ID
D																									Well ID
E																			SPL3		SPL3		SPL3		Well ID
F																									Well ID
G																			SPL4		SPL4		SPL4		Well ID
H																									Well ID
I																			SPL5		SPL5		SPL5		Well ID
J																									Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-F-G35:485/20,528/20

Time	T° GFP-F-G35:485/20,528/20	A19	A21	A23	C19	C21	C23	E19	E21	E23	G19	G21	G23	I19	I21	I23
4:15:00	37.0	56	55	50	63	64	60	58	64	64	79	92	155	9158	9794	15369
4:20:00	37.0	56	56	51	64	64	61	59	65	65	81	95	159	9244	9881	15417
4:25:00	37.0	56	56	51	64	64	61	59	65	65	82	96	163	9296	9967	15511
4:30:00	37.0	57	56	51	65	65	62	59	65	66	84	98	167	9388	10036	15622
4:35:00	37.0	57	57	51	65	66	62	60	66	66	85	100	171	9467	10100	15680
4:40:00	37.0	58	57	52	66	66	63	60	67	66	87	101	176	9569	10211	15727
4:45:00	37.0	58	58	52	66	67	63	60	67	67	88	103	180	9617	10260	15844
4:50:00	37.0	59	58	53	66	67	63	61	68	67	89	105	184	9688	10345	15877
4:55:00	37.0	59	58	53	67	67	63	62	68	67	90	107	188	9735	10421	15990
5:00:00	37.0	59	59	53	68	68	64	62	68	68	93	108	191	9839	10467	15987
5:05:00	37.0	60	59	53	68	68	65	62	69	69	94	110	196	9854	10534	16073
5:10:00	37.0	60	59	54	69	68	64	63	69	69	95	111	200	9924	10576	16102
5:15:00	37.0	61	59	54	70	69	65	63	70	69	96	114	204	10001	10684	16185
5:20:00	37.0	61	60	54	70	70	66	63	71	70	98	116	208	10070	10690	16325
5:25:00	37.0	61	60	54	70	70	66	63	71	70	99	117	210	10072	10756	16351
5:30:00	37.0	61	61	54	71	71	66	64	71	71	100	119	214	10161	10827	16329
5:35:00	37.0	62	61	55	71	71	68	64	71	71	102	120	218	10212	10844	16402
5:40:00	37.0	62	61	55	72	72	67	65	72	72	102	122	221	10248	10920	16496
5:45:00	37.0	62	62	55	72	72	68	65	72	72	103	123	225	10300	10921	16510
5:50:00	37.0	63	62	56	72	73	68	65	72	71	105	124	229	10384	11013	16591
5:55:00	37.0	63	62	55	73	73	69	65	73	72	106	126	232	10416	11033	16560
6:00:00	37.0	62	61	55	73	74	69	66	73	72	107	127	235	10455	11106	16652

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	A19	A21	A23	C19	C21	C23	E19	E21	E23	G19	G21	G23	I19	I21	I23
0:00:38	37.0	16	15	18	15	15	13	9	18	13	13	19	12	13	15	19
0:05:38	37.0	4	14	6	15	16	7	13	17	16	14	14	17	12	12	28
0:10:38	37.0	14	15	19	10	17	9	13	13	17	12	10	14	12	11	10
0:15:38	37.0	7	16	16	9	12	12	14	14	14	10	12	16	13	10	16
0:20:38	37.0	8	15	10	6	9	17	5	20	15	14	18	19	18	18	19
0:25:38	37.0	12	12	7	11	10	16	13	13	11	14	15	14	21	24	28
0:30:38	37.0	12	13	16	10	9	12	19	7	17	12	13	13	34	31	52
0:35:38	37.0	15	14	13	13	7	11	8	8	14	17	13	12	41	41	108
0:40:38	37.0	8	14	9	13	10	16	15	16	19	18	15	9	58	71	176
0:45:38	37.0	11	14	11	13	14	12	20	19	13	14	23	15	94	92	288
0:50:38	37.0	10	19	15	10	12	11	16	14	14	12	15	7	120	139	413
0:55:38	37.0	8	16	10	8	10	18	11	18	11	17	14	18	165	193	559
1:00:38	37.0	10	15	15	14	15	18	9	18	12	8	13	7	219	241	708
1:05:38	37.0	11	15	14	8	7	12	17	13	8	9	14	19	270	294	887
1:10:38	37.0	12	10	11	18	10	6	15	11	16	14	20	12	322	371	1029
1:15:38	37.0	14	17	11	14	8	13	16	18	17	13	12	11	383	442	1215
1:20:38	37.0	16	13	12	9	15	16	12	19	25	13	18	11	445	504	1379
1:25:38	37.0	20	16	13	11	13	19	14	18	17	16	21	17	531	589	1573
1:30:38	37.0	9	17	16	16	9	10	15	22	16	11	14	15	603	682	1759
1:35:38	37.0	10	9	15	14	11	11	13	14	14	12	16	11	690	777	1951
1:40:38	37.0	20	15	18	21	10	20	19	14	18	15	20	18	786	883	2157
1:45:38	37.0	5	19	4	13	10	6	16	12	12	11	13	16	890	987	2368
1:50:38	37.0	8	14	15	18	13	22	16	14	18	15	21	18	1007	1114	2573
1:55:38	37.0	9	14	9	12	13	9	18	21	15	15	24	15	1118	1225	2793
2:00:38	37.0	9	22	16	8	16	18	20	17	17	12	20	19	1223	1370	2982
2:05:38	37.0	14	15	13	12	11	22	14	15	17	17	15	20	1361	1500	3182
2:10:38	37.0	21	14	16	13	15	12	16	21	13	21	7	19	1472	1621	3359
2:15:38	37.0	14	17	13	14	19	12	15	15	15	16	20	15	1583	1768	3513
2:20:38	37.0	16	8	13	15	18	15	15	23	17	14	19	14	1698	1872	3652
2:25:38	37.0	16	13	19	12	15	11	12	17	17	18	18	16	1790	2005	3832
2:30:38	37.0	7	17	12	13	10	17	15	17	19	13	16	26	1895	2110	4003
2:35:38	37.0	9	14	11	12	16	12	12	22	17	13	14	12	2011	2193	4080
2:40:38	37.0	17	17	16	19	15	13	20	12	20	18	20	14	2084	2293	4191
2:45:38	37.0	9	17	8	11	15	22	16	14	22	11	18	13	2172	2396	4317
2:50:38	37.0	12	14	14	19	17	30	13	13	18	18	21	22	2229	2472	4387
2:55:38	37.0	11	10	17	16	13	14	19	16	13	16	18	28	2323	2553	4444
3:00:38	37.0	10	11	19	10	17	15	13	16	13	20	20	22	2394	2613	4551
3:05:38	37.0	12	5	10	19	15	18	15	10	17	17	21	27	2438	2666	4638
3:10:38	37.0	8	18	14	9	15	20	11	14	12	14	22	24	2487	2731	4690
3:15:38	37.0	17	14	13	13	12	15	16	20	13	18	20	35	2560	2794	4770
3:20:38	37.0	10	16	19	9	21	17	13	14	16	16	21	33	2613	2857	4832
3:25:38	37.0	15	18	9	16	17	22	14	14	17	21	23	38	2655	2915	4828
3:30:38	37.0	11	17	14	14	18	6	14	14	22	14	23	30	2699	2959	4962
3:35:38	37.0	11	7	9	14	15	15	17	14	18	19	23	35	2752	3014	4989
3:40:38	37.0	11	15	16	15	21	13	21	20	16	22	28	34	2792	3027	5007
3:45:38	37.0	7	17	13	16	20	13	21	11	22	19	29	32	2842	3075	5054
3:50:38	37.0	16	13	13	17	15	20	10	25	18	14	25	34	2879	3135	5115
3:55:38	37.0	14	16	9	14	26	19	14	19	18	22	26	34	2914	3149	5169
4:00:38	37.0	17	15	10	20	16	23	17	19	18	21	25	41	2954	3196	5215
4:05:38	37.0	17	16	15	20	11	14	18	21	12	21	31	40	2979	3235	5247
