experiment_id,experiment_name,Read,fit_param_0,fit_param_1,fit_param_2,fit_param_3,fit_param_4,HEPES,Potassium gluatmate,ATP,GTP,CTP,UTP,tRNA,TCEP,Folinic acid,Spermidine,Amino acid solution,DNA,Product,PEG4K 40%,RNAse inhibitor,NEB,AlaRS,ArgRS,AsnRS,AspRS,CysRS,GlnRS,GluRS,GlyRS,HisRS,IleRS,LeuRS,LysRS,MetRS,PheRS,ProRS,SerRS,ThrRS,TrpRS,TyrRS,ValRS,IF1,IF2,IF3,EF-G,EF-Tu,EF-Ts,RF1,RF2,RF3,RRF,MTF,CK,AK,NDK,PPiase,T7RNAP,Ribosome,Magnesium acetate,Creatine phosphate,PPK,PolyP
id,,feature,regressor,regressor,regressor,regressor,regressor,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature
,,discrete,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,discrete,real,real,boolean,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real,real
23,PMix-MFG-128-PURE-Activity-QC_D2,GFP-Gext,0.1073229,3.666340658,0.874730707,0.001024925,4.186391763,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.9,deGFP,0,5,0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,8,20,0,0
24,PMix-MFG-128-PURE-Activity-QC_D4,GFP-Gext,0.053775025,4.589141603,0.731983502,0.00012382,4.243636193,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.9,deGFP,0,5,0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,8,20,0,0
25,PMix-MFG-128-PURE-Activity-QC_F2,GFP-Gext,0.103258961,3.453530887,0.889422023,0.001263112,4.166829012,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.9,deGFP,0,5,0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,8,20,0,0
26,PMix-MFG-128-PURE-Activity-QC_F4,GFP-Gext,0.059147183,4.273413931,0.767536717,0.00015338,4.229695527,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.9,deGFP,0,5,0,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,8,20,0,0
27,PPK_20250611_A11,GFP-F-G35,0.080625143,1.405888155,1.965151481,0.001181491,3.937150167,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,6,20,0,0
28,PPK_20250611_A14,GFP-F-G35,0.08577942,1.417941433,1.845483167,0.001518179,4.005629076,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,6,20,0,0
29,PPK_20250611_A17,GFP-F-G35,0.108807473,2.097134254,1.311962188,0.001862356,4.018589819,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,6,20,0,0
30,PPK_20250611_C11,GFP-F-G35,0.106878484,2.911292144,1.075108237,0.001108036,4.105861536,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,7,20,0,0
31,PPK_20250611_C13,GFP-F-G35,0.111941856,3.018005776,1.043418944,0.001360737,4.118071448,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,7,20,0,0
32,PPK_20250611_C17,GFP-F-G35,0.109001225,2.964560011,1.056126457,0.001256431,4.111053599,50,100,2,2,1,1,3.5,1,0.02,2,0.3,5.725714286,plamGFP,2,0,1,130.3361633,3.633795918,40.94155102,15.02008163,2.180571429,7.025142857,23.49991837,17.928,1.45322449,74.61697959,7.510040816,11.87118367,4.361142857,31.73583673,18.65387755,3.633795918,11.62873469,11.62873469,1.21077551,3.391346939,18.65387755,74.61697959,18.65387755,93.27085714,931.7358367,93.27085714,18.65387755,18.65387755,18.65387755,18.65387755,37.3077551,7.510040816,5.571918367,1.938122449,1.938122449,18.65387755,1.8,7,20,0,0
