,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
61,0 days 05:05:00,J3,1347,J,3,plamGFP-deGFP,Plate 1,1,Negative
62,0 days 05:10:00,J3,1348,J,3,plamGFP-deGFP,Plate 1,1,Negative
63,0 days 05:15:00,J3,1356,J,3,plamGFP-deGFP,Plate 1,1,Negative
64,0 days 05:20:00,J3,1352,J,3,plamGFP-deGFP,Plate 1,1,Negative
65,0 days 05:25:00,J3,1309,J,3,plamGFP-deGFP,Plate 1,1,Negative
66,0 days 05:30:00,J3,1313,J,3,plamGFP-deGFP,Plate 1,1,Negative
67,0 days 05:35:00,J3,1407,J,3,plamGFP-deGFP,Plate 1,1,Negative
68,0 days 05:40:00,J3,1409,J,3,plamGFP-deGFP,Plate 1,1,Negative
69,0 days 05:45:00,J3,1430,J,3,plamGFP-deGFP,Plate 1,1,Negative
70,0 days 05:50:00,J3,1407,J,3,plamGFP-deGFP,Plate 1,1,Negative
71,0 days 05:55:00,J3,1422,J,3,plamGFP-deGFP,Plate 1,1,Negative
72,0 days 06:00:00,J3,1446,J,3,plamGFP-deGFP,Plate 1,1,Negative
73,0 days 06:05:00,J3,1427,J,3,plamGFP-deGFP,Plate 1,1,Negative
74,0 days 06:10:00,J3,1416,J,3,plamGFP-deGFP,Plate 1,1,Negative
75,0 days 06:15:00,J3,1456,J,3,plamGFP-deGFP,Plate 1,1,Negative
76,0 days 06:20:00,J3,1426,J,3,plamGFP-deGFP,Plate 1,1,Negative
77,0 days 06:25:00,J3,1484,J,3,plamGFP-deGFP,Plate 1,1,Negative
78,0 days 06:30:00,J3,1512,J,3,plamGFP-deGFP,Plate 1,1,Negative
79,0 days 06:35:00,J3,1444,J,3,plamGFP-deGFP,Plate 1,1,Negative
80,0 days 06:40:00,J3,1498,J,3,plamGFP-deGFP,Plate 1,1,Negative
81,0 days 06:45:00,J3,1477,J,3,plamGFP-deGFP,Plate 1,1,Negative
82,0 days 06:50:00,J3,1544,J,3,plamGFP-deGFP,Plate 1,1,Negative
83,0 days 06:55:00,J3,1540,J,3,plamGFP-deGFP,Plate 1,1,Negative
84,0 days 07:00:00,J3,1514,J,3,plamGFP-deGFP,Plate 1,1,Negative
85,0 days 07:05:00,J3,1512,J,3,plamGFP-deGFP,Plate 1,1,Negative
86,0 days 07:10:00,J3,1582,J,3,plamGFP-deGFP,Plate 1,1,Negative
87,0 days 07:15:00,J3,1556,J,3,plamGFP-deGFP,Plate 1,1,Negative
88,0 days 07:20:00,J3,1562,J,3,plamGFP-deGFP,Plate 1,1,Negative
89,0 days 07:25:00,J3,1514,J,3,plamGFP-deGFP,Plate 1,1,Negative
90,0 days 07:30:00,J3,1580,J,3,plamGFP-deGFP,Plate 1,1,Negative
91,0 days 07:35:00,J3,1653,J,3,plamGFP-deGFP,Plate 1,1,Negative
92,0 days 07:40:00,J3,1597,J,3,plamGFP-deGFP,Plate 1,1,Negative
93,0 days 07:45:00,J3,1622,J,3,plamGFP-deGFP,Plate 1,1,Negative
94,0 days 07:50:00,J3,1578,J,3,plamGFP-deGFP,Plate 1,1,Negative
95,0 days 07:55:00,J3,1691,J,3,plamGFP-deGFP,Plate 1,1,Negative
96,0 days 08:00:00,J3,1672,J,3,plamGFP-deGFP,Plate 1,1,Negative
97,0 days 08:05:00,J3,1658,J,3,plamGFP-deGFP,Plate 1,1,Negative
98,0 days 08:10:00,J3,1656,J,3,plamGFP-deGFP,Plate 1,1,Negative
99,0 days 08:15:00,J3,1704,J,3,plamGFP-deGFP,Plate 1,1,Negative
100,0 days 08:20:00,J3,1653,J,3,plamGFP-deGFP,Plate 1,1,Negative
101,0 days 08:25:00,J3,1763,J,3,plamGFP-deGFP,Plate 1,1,Negative
102,0 days 08:30:00,J3,1729,J,3,plamGFP-deGFP,Plate 1,1,Negative
103,0 days 08:35:00,J3,1704,J,3,plamGFP-deGFP,Plate 1,1,Negative
104,0 days 08:40:00,J3,1703,J,3,plamGFP-deGFP,Plate 1,1,Negative
105,0 days 08:45:00,J3,1746,J,3,plamGFP-deGFP,Plate 1,1,Negative
106,0 days 08:50:00,J3,1722,J,3,plamGFP-deGFP,Plate 1,1,Negative
107,0 days 08:55:00,J3,1742,J,3,plamGFP-deGFP,Plate 1,1,Negative
108,0 days 09:00:00,J3,1745,J,3,plamGFP-deGFP,Plate 1,1,Negative
109,0 days 09:05:00,J3,1754,J,3,plamGFP-deGFP,Plate 1,1,Negative
110,0 days 09:10:00,J3,1745,J,3,plamGFP-deGFP,Plate 1,1,Negative
111,0 days 09:15:00,J3,1815,J,3,plamGFP-deGFP,Plate 1,1,Negative
112,0 days 09:20:00,J3,1787,J,3,plamGFP-deGFP,Plate 1,1,Negative
