,Time,Well,Data,Row,Column,Read,Plate,Sample #,Name
61,0 days 05:05:00,J3,1925,J,3,plamGFP-deGFP,Plate 1,1,Negative
62,0 days 05:10:00,J3,1940,J,3,plamGFP-deGFP,Plate 1,1,Negative
63,0 days 05:15:00,J3,1996,J,3,plamGFP-deGFP,Plate 1,1,Negative
64,0 days 05:20:00,J3,1997,J,3,plamGFP-deGFP,Plate 1,1,Negative
65,0 days 05:25:00,J3,1970,J,3,plamGFP-deGFP,Plate 1,1,Negative
66,0 days 05:30:00,J3,1942,J,3,plamGFP-deGFP,Plate 1,1,Negative
67,0 days 05:35:00,J3,1976,J,3,plamGFP-deGFP,Plate 1,1,Negative
68,0 days 05:40:00,J3,2495,J,3,plamGFP-deGFP,Plate 1,1,Negative
69,0 days 05:45:00,J3,2026,J,3,plamGFP-deGFP,Plate 1,1,Negative
70,0 days 05:50:00,J3,2009,J,3,plamGFP-deGFP,Plate 1,1,Negative
71,0 days 05:55:00,J3,2023,J,3,plamGFP-deGFP,Plate 1,1,Negative
72,0 days 06:00:00,J3,2043,J,3,plamGFP-deGFP,Plate 1,1,Negative
73,0 days 06:05:00,J3,2031,J,3,plamGFP-deGFP,Plate 1,1,Negative
74,0 days 06:10:00,J3,2101,J,3,plamGFP-deGFP,Plate 1,1,Negative
75,0 days 06:15:00,J3,2101,J,3,plamGFP-deGFP,Plate 1,1,Negative
76,0 days 06:20:00,J3,2091,J,3,plamGFP-deGFP,Plate 1,1,Negative
77,0 days 06:25:00,J3,2132,J,3,plamGFP-deGFP,Plate 1,1,Negative
78,0 days 06:30:00,J3,2113,J,3,plamGFP-deGFP,Plate 1,1,Negative
79,0 days 06:35:00,J3,2120,J,3,plamGFP-deGFP,Plate 1,1,Negative
80,0 days 06:40:00,J3,2110,J,3,plamGFP-deGFP,Plate 1,1,Negative
81,0 days 06:45:00,J3,2182,J,3,plamGFP-deGFP,Plate 1,1,Negative
82,0 days 06:50:00,J3,2203,J,3,plamGFP-deGFP,Plate 1,1,Negative
83,0 days 06:55:00,J3,2095,J,3,plamGFP-deGFP,Plate 1,1,Negative
84,0 days 07:00:00,J3,2210,J,3,plamGFP-deGFP,Plate 1,1,Negative
85,0 days 07:05:00,J3,2202,J,3,plamGFP-deGFP,Plate 1,1,Negative
86,0 days 07:10:00,J3,2831,J,3,plamGFP-deGFP,Plate 1,1,Negative
87,0 days 07:15:00,J3,2225,J,3,plamGFP-deGFP,Plate 1,1,Negative
88,0 days 07:20:00,J3,2210,J,3,plamGFP-deGFP,Plate 1,1,Negative
89,0 days 07:25:00,J3,2213,J,3,plamGFP-deGFP,Plate 1,1,Negative
90,0 days 07:30:00,J3,2322,J,3,plamGFP-deGFP,Plate 1,1,Negative
91,0 days 07:35:00,J3,2269,J,3,plamGFP-deGFP,Plate 1,1,Negative
92,0 days 07:40:00,J3,2280,J,3,plamGFP-deGFP,Plate 1,1,Negative
93,0 days 07:45:00,J3,2234,J,3,plamGFP-deGFP,Plate 1,1,Negative
