

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20251208-134617-cytation5-pure-timecourse-gfp-.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation5_protocols\cytation5-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	12/8/2025
Time	1:46:17 PM
Reader Type:	Cytation5
Reader Serial Number:	1705168
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-G70
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: 70
	Light Source: Xenon Flash,  Lamp Energy: High,  Standard Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
    Read	GFP-Gext
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485/20,  Emission: 528/20
	    Optics: Top,  Gain: extended
	Light Source: Xenon Flash,  Lamp Energy: High,  Extended Dynamic Range
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.5 mm
End Kinetic	
Set Temperature	Incubator off

Layout
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A																									Well ID
B		SPL1		SPL1		SPL1		SPL2		SPL2		SPL2		SPL3		SPL3		SPL3							Well ID
C																									Well ID
D		SPL4		SPL4		SPL4																			Well ID
E																									Well ID
F		SPL5		SPL5		SPL5		SPL6		SPL6		SPL6		SPL7		SPL7		SPL7							Well ID
G																									Well ID
H		SPL8		SPL8		SPL8																			Well ID
I																									Well ID
J		SPL9		SPL9		SPL9		SPL10		SPL10		SPL10													Well ID
K																									Well ID
L																									Well ID
M																									Well ID
N																									Well ID
O																									Well ID
P																									Well ID

GFP-G70:485,528

Time	T° GFP-G70:485,528	B2	B4	B6	B8	B10	B12	B14	B16	B18	D2	D4	D6	F2	F4	F6	F8	F10	F12	F14	F16	F18	H2	H4	H6	J2	J4	J6	J8	J10	J12
1:15:00	37.0	68319	68949	71803	66572	65370	67674	68194	65884	70674	37	59	39	15795	15481	15936	20544	20902	20573	16517	16061	15839	8469	8289	8528	OVRFLW	OVRFLW	OVRFLW	28407	28156	27299
1:20:00	37.0	70726	71403	74363	68646	67785	70158	70621	68214	73456	53	46	50	15954	15573	16093	20457	20843	20741	16744	16236	15933	8438	8311	8566	OVRFLW	OVRFLW	OVRFLW	28469	27929	27391
1:25:00	37.0	72982	73506	76860	71090	70255	72755	73273	70433	76241	52	46	47	16002	15642	16114	20685	20891	20656	16733	16208	15988	8547	8340	8658	OVRFLW	OVRFLW	OVRFLW	28421	27999	27376
1:30:00	37.0	74974	75562	78583	72913	71890	74460	74959	72178	77701	48	42	49	16119	15801	16231	20622	20923	20716	16762	16235	15999	8511	8355	8654	OVRFLW	OVRFLW	OVRFLW	28299	27813	27313
1:35:00	37.0	75844	76763	79819	74456	73304	76123	76581	73916	79330	47	53	68	16047	15891	16176	20608	21001	20760	16930	16199	16095	8528	8322	8676	OVRFLW	OVRFLW	OVRFLW	28337	27924	27322
1:40:00	37.0	76802	77750	81226	75562	74766	77138	77652	74966	80608	53	43	62	16052	15804	16184	20649	21070	20693	16717	16238	16177	8559	8372	8663	OVRFLW	OVRFLW	99957	28333	27940	27142
1:45:00	37.1	77697	78529	81810	76485	75416	77834	78375	75806	81387	48	56	46	16114	15840	16300	20653	21094	20914	16713	16297	16063	8543	8353	8705	OVRFLW	OVRFLW	OVRFLW	28172	27779	27113
1:50:00	37.0	78665	79352	82513	77266	76236	78726	79340	76352	82092	65	50	62	16155	15800	16252	20681	20954	20757	16933	16268	16168	8558	8327	8672	OVRFLW	OVRFLW	99958	28076	27824	27085
1:55:00	37.0	78742	80189	83082	77561	76691	79488	80108	77517	82470	59	50	61	16016	15799	16272	20680	20942	20902	16857	16355	16055	8579	8403	8757	OVRFLW	OVRFLW	99869	28217	27989	27299
2:00:00	37.0	78941	80148	82922	77474	77161	79488	80259	77181	82789	45	51	62	16059	15786	16223	20606	21021	20834	16831	16349	16194	8523	8337	8719	OVRFLW	OVRFLW	99893	28131	27705	27186
2:05:00	37.0	79639	80675	83845	78625	77520	80110	80964	77623	83478	51	70	57	16073	15772	16264	20839	21023	20848	16858	16326	16191	8582	8330	8748	OVRFLW	OVRFLW	99650	28050	27912	27147
2:10:00	37.1	79371	80270	83181	77846	77483	80130	80634	78104	83176	56	60	56	16014	15751	16229	20794	20975	20855	16799	16430	16118	8576	8358	8746	OVRFLW	OVRFLW	99134	28053	27777	27029
2:15:00	37.0	79065	79937	83251	77994	77273	79911	80334	77670	83354	62	67	77	15993	15693	16123	20636	20919	20768	16773	16268	16011	8546	8301	8686	OVRFLW	OVRFLW	99224	28142	27660	27081
2:20:00	37.0	79452	80538	83426	78179	77429	80007	80718	77476	83538	65	59	68	16011	15672	16132	20581	20950	20849	16830	16447	16095	8539	8346	8689	OVRFLW	OVRFLW	99508	28275	27800	27250
2:25:00	37.1	79440	80145	83698	78525	77479	79853	80727	77487	83643	70	70	69	16021	15729	16109	20574	20997	20904	16793	16361	16082	8559	8370	8734	OVRFLW	OVRFLW	99080	28028	27716	27103
2:30:00	37.0	79354	80680	83789	78553	77496	80344	81135	77798	83371	73	77	66	15959	15739	16078	20613	20917	20713	16682	16257	16043	8522	8393	8676	OVRFLW	OVRFLW	99407	28036	27712	27165
2:35:00	37.1	79099	80094	83581	77783	77503	79698	80634	77572	83143	80	74	67	15949	15733	16118	20647	21004	20743	16741	16263	16145	8510	8324	8722	OVRFLW	OVRFLW	99444	28175	27705	27009
2:40:00	37.1	79243	80445	82957	77936	77099	79677	80417	77599	83157	73	69	78	15975	15716	16047	20582	20838	20785	16794	16296	16063	8551	8299	8694	OVRFLW	OVRFLW	98944	28165	27700	27055
2:45:00	37.0	79301	80214	83368	78123	77671	79754	81116	77607	83204	75	74	69	15940	15639	16033	20559	20935	20725	16793	16262	16015	8536	8363	8679	OVRFLW	OVRFLW	99020	27965	27816	27102
2:50:00	37.0	79275	79941	83426	78152	77202	79667	80355	77417	82982	89	71	77	15870	15610	16087	20657	20806	20731	16738	16200	15972	8458	8357	8663	OVRFLW	OVRFLW	98934	28199	27700	27093
2:55:00	37.1	79181	80413	83257	77821	77285	79497	80270	77412	82997	69	81	87	15955	15641	16032	20520	20810	20757	16732	16294	16007	8523	8324	8692	OVRFLW	OVRFLW	99029	28087	27726	27004
3:00:00	37.1	79187	80275	83784	78102	77291	79674	80702	77698	83166	88	72	70	15880	15543	15982	20584	20800	20776	16679	16204	15967	8517	8338	8743	OVRFLW	OVRFLW	98916	28224	27770	27180
3:05:00	37.0	78892	80160	83484	77951	76923	79322	80457	77453	83316	83	86	88	15922	15599	15964	20554	20898	20771	16769	16279	15995	8482	8350	8624	OVRFLW	99682	98754	27920	27773	27101
3:10:00	37.1	78975	80199	83028	77718	77332	79719	80369	77248	82813	75	80	74	15966	15551	16035	20541	20905	20674	16768	16190	15949	8517	8328	8672	OVRFLW	99679	98716	27974	27809	27064
3:15:00	37.1	79307	80431	83446	78160	77350	79977	80394	77636	82939	81	85	87	15849	15583	15962	20433	20779	20650	16766	16227	15941	8471	8324	8620	OVRFLW	99753	98649	28111	27775	27149
3:20:00	37.0	79236	79728	83226	77860	77346	79709	80318	77333	83248	85	95	72	15802	15477	15912	20522	20804	20588	16705	16265	15961	8521	8242	8623	OVRFLW	99884	98413	28001	27749	27052
3:25:00	37.0	79285	79983	83387	77823	77273	79798	80305	77699	82968	84	80	90	15823	15572	15948	20488	20746	20635	16660	16225	15951	8495	8273	8632	OVRFLW	99885	98850	28012	27762	27126
3:30:00	37.1	79132	79964	83046	77760	76975	79559	80115	77557	82935	91	79	92	15798	15467	16074	20552	20675	20625	16664	16268	15996	8479	8300	8688	OVRFLW	99687	98651	27990	27696	26984
3:35:00	37.0	78927	79861	83284	77460	77051	79307	79864	77257	82861	97	91	81	15843	15459	15931	20379	20811	20646	16655	16230	15937	8477	8237	8734	OVRFLW	99536	98834	28008	27645	27086
3:40:00	37.0	79107	79908	83438	78048	77320	79908	80554	77635	82964	90	74	89	15916	15555	16011	20487	20817	20677	16680	16278	15925	8565	8380	8706	OVRFLW	OVRFLW	98797	28139	27810	27114
3:45:00	37.0	78923	79511	83092	77549	77298	79494	80405	77199	82499	92	87	89	15793	15608	15915	20338	20737	20654	16556	16145	15876	8491	8355	8681	OVRFLW	99453	98508	28000	27772	26977
3:50:00	37.0	79376	80004	83130	77762	77051	79400	80201	77557	82724	102	97	93	15809	15532	15875	20484	20714	20599	16692	16161	15940	8460	8264	8625	OVRFLW	99302	98756	27963	27830	27174
3:55:00	37.0	79086	79982	83200	77618	77123	79465	80286	77254	82733	108	88	100	15834	15491	15832	20309	20716	20626	16642	16207	15893	8480	8296	8720	OVRFLW	99573	98479	28056	27689	27148
4:00:00	37.1	79222	79871	83188	77886	77364	79659	80104	77362	82632	115	94	100	15801	15494	15896	20367	20742	20686	16662	16169	15945	8495	8315	8681	OVRFLW	99555	98099	28020	27680	27041
4:05:00	37.1	78651	79692	82876	77585	76885	79222	80113	76846	82393	108	101	85	15722	15421	15849	20413	20710	20572	16548	16164	15898	8488	8306	8652	OVRFLW	99121	98311	27921	27677	26986
4:10:00	37.0	78924	79584	83270	77412	76621	79581	79736	76860	82479	105	88	115	15807	15337	15830	20284	20638	20503	16579	16147	15876	8537	8253	8687	OVRFLW	99516	98495	27981	27709	27119
4:15:00	37.0	78831	79765	83091	77414	76742	79124	79876	77007	82666	115	108	96	15763	15474	15821	20358	20618	20560	16548	16195	15856	8477	8296	8685	OVRFLW	99325	98281	27826	27742	27092
4:20:00	37.0	78990	80102	83024	77505	76779	79094	80121	77106	82506	117	115	103	15771	15446	15832	20470	20667	20529	16601	16170	15806	8455	8307	8640	OVRFLW	99138	98305	27805	27915	27128
4:25:00	37.0	78829	79399	83033	77626	76972	79218	80110	76951	82448	113	106	113	15656	15357	15772	20402	20683	20563	16524	16175	15862	8478	8277	8654	OVRFLW	98895	98271	27832	27663	27082
4:30:00	37.1	78786	79965	83280	77603	76784	79144	79631	77021	82692	118	111	117	15695	15408	15790	20515	20726	20554	16539	16071	15931	8499	8308	8689	OVRFLW	99652	98532	28018	27769	27137
4:35:00	37.1	78663	79668	83068	77531	76888	78987	79851	77315	82442	121	117	106	15711	15383	15786	20209	20610	20482	16540	16098	15767	8408	8281	8692	OVRFLW	99208	97948	27807	27691	27086
4:40:00	37.0	78703	79730	83096	77584	76960	79413	80004	77191	82472	105	120	103	15676	15354	15752	20178	20554	20424	16501	16075	15905	8469	8270	8638	OVRFLW	99047	98208	27933	27583	27123
4:45:00	37.1	78928	79532	82740	77574	76736	78971	79972	77101	82090	117	122	124	15758	15284	15794	20245	20593	20533	16653	16090	15858	8447	8281	8657	OVRFLW	99652	98078	27896	27651	27132
4:50:00	37.1	78666	79333	82709	77599	76685	78920	79525	76899	81961	113	119	110	15726	15389	15715	20293	20635	20439	16583	16072	15770	8447	8301	8639	OVRFLW	99015	98174	27882	27708	27038
4:55:00	37.0	78944	79825	83097	77426	76902	79551	79889	77425	82484	123	112	117	15728	15393	15739	20254	20628	20571	16516	16060	15779	8479	8266	8651	OVRFLW	99247	97747	27969	27771	27141
5:00:00	37.0	78698	79649	83219	77193	76524	78933	79504	76925	82109	114	114	119	15639	15325	15761	20300	20503	20508	16433	16087	15817	8432	8260	8661	OVRFLW	99449	98236	27833	27649	26985
5:05:00	37.0	78899	79736	83088	77314	76703	78935	79768	77039	82360	130	112	115	15627	15303	15765	20232	20535	20448	16481	16153	15795	8427	8248	8691	OVRFLW	98947	98299	27929	27708	27139
5:10:00	37.0	78549	79581	82526	77215	76651	78978	79789	77328	82252	129	119	117	15652	15343	15751	20267	20625	20424	16546	16092	15740	8421	8273	8632	OVRFLW	99117	97865	27799	27697	27058
5:15:00	37.0	78625	79426	83003	77657	76500	78932	79485	76915	82366	122	120	120	15691	15381	15676	20213	20503	20452	16536	16121	15773	8436	8270	8640	OVRFLW	98909	97536	27712	27739	27012
5:20:00	37.0	78509	79510	83074	77651	76673	78843	79715	76957	82100	126	120	122	15640	15272	15681	20208	20515	20405	16540	16111	15796	8448	8211	8596	OVRFLW	98960	97722	27850	27628	27108
5:25:00	37.0	79010	79652	82739	77463	76745	79213	79854	77117	82633	126	118	127	15754	15364	15692	20210	20625	20444	16494	16052	15899	8474	8271	8697	OVRFLW	99066	97943	27835	27697	27227
5:30:00	37.1	79011	79389	83001	77141	76604	78811	79644	76766	82351	135	124	138	15665	15329	15700	20284	20608	20487	16507	16054	15894	8465	8287	8653	OVRFLW	98731	97727	27901	27691	27159
5:35:00	37.0	78576	79626	83114	77357	76737	79062	79593	76898	82134	131	122	125	15604	15355	15673	20214	20548	20399	16455	16081	15739	8427	8225	8671	OVRFLW	98563	97778	27818	27694	27105
5:40:00	37.0	78600	79474	82518	77253	76706	78683	79646	76855	82022	134	139	137	15643	15332	15688	20228	20507	20484	16452	16043	15839	8447	8283	8631	OVRFLW	99386	97911	27765	27696	27092
5:45:00	37.0	78523	79211	82939	77446	76796	79000	79870	77152	82426	139	137	118	15720	15243	15735	20284	20513	20453	16419	16088	15798	8481	8271	8649	OVRFLW	98883	97587	27737	27699	27084
5:50:00	37.1	78455	79460	82874	77125	76374	78750	79564	76634	82103	130	135	132	15609	15236	15740	20136	20388	20389	16475	16027	15814	8418	8279	8703	OVRFLW	98688	97462	27771	27750	27189
5:55:00	37.0	78713	79344	83350	77550	77182	79206	80244	77275	82231	141	126	127	15579	15247	15765	20244	20520	20500	16447	15950	15825	8522	8292	8670	OVRFLW	98780	97965	27842	27718	27129
6:00:00	37.0	78641	79383	82899	77435	76622	78717	79769	77037	82321	142	136	137	15572	15267	15630	20103	20546	20395	16485	16003	15737	8442	8241	8648	OVRFLW	99245	97731	27804	27714	27078

GFP-Gext:485,528

Time	T° GFP-Gext:485,528	B2	B4	B6	B8	B10	B12	B14	B16	B18	D2	D4	D6	F2	F4	F6	F8	F10	F12	F14	F16	F18	H2	H4	H6	J2	J4	J6	J8	J10	J12
0:01:21	37.0	306	312	334	310	326	329	317	284	319	321	299	315	367	339	361	346	350	348	316	303	300	284	306	313	1005649	999896	980882	261757	259985	252182
0:06:21	37.0	446	449	445	483	486	523	529	553	643	313	302	320	1562	1617	1752	325	333	354	323	330	320	316	319	281	1001063	992570	969406	256868	253653	247256
0:11:21	37.0	12312	12155	13315	12770	12155	12657	12600	12947	15018	309	310	328	8647	8661	8861	8251	8800	9075	6872	7353	7767	2044	1804	1874	993538	975872	957358	249237	246428	239738
0:16:21	37.0	46892	47211	51394	48250	46487	48153	48472	47684	53186	305	307	321	22859	22635	23153	33022	33769	34797	27165	26956	27570	11238	10656	10892	982138	965681	944506	244977	242031	235179
0:21:21	37.0	98485	99357	106531	99360	96349	99894	99836	97997	107957	325	296	313	40989	39972	40639	61556	62353	62937	49644	48940	49464	23790	23058	23880	981903	958081	933813	244058	239061	231311
0:26:21	37.0	157479	159221	169742	158595	152818	157616	157535	154597	169355	307	339	331	58243	57325	57906	86973	88467	88379	69720	68125	68738	35944	34515	35549	974616	949119	928845	240860	237152	228304
0:31:21	37.0	220082	221705	235283	218070	212879	219804	218626	214858	232976	329	315	323	73926	72094	73389	108625	110929	110152	87392	85610	85149	45252	44766	45777	974708	946002	923136	241144	237022	228545
0:36:21	37.0	278123	281321	296354	275720	269033	277088	275654	267806	290466	290	340	330	88252	85416	87224	125910	128959	127295	101049	99039	98159	53163	51718	53590	969472	940826	922446	238964	235376	228733
0:41:21	37.0	333429	335726	384125	329565	321984	331368	327336	319935	342947	323	354	348	99134	96827	99127	140502	142472	141065	112934	109524	108233	58998	57218	59318	972034	942269	922094	238988	234227	227582
0:46:21	37.0	410474	414240	433430	407874	394688	405731	403506	389984	422156	349	350	345	108579	106272	108440	149851	152257	150784	119972	116660	114737	62873	60901	63046	964122	938192	913790	239241	234501	226859
0:51:21	37.0	454312	459494	480293	447954	436261	451868	449823	434440	469304	349	353	384	115884	113226	115849	156773	159693	158776	127144	122922	121332	65586	64182	65731	962207	935019	914233	238294	233221	227328
0:56:21	37.0	499545	506657	528512	486382	479244	495105	494536	477385	512289	337	344	361	122230	119672	121702	164219	165805	164954	132239	127968	126672	67817	66453	67914	962992	939268	913845	238119	233336	227264
1:01:21	37.0	534860	540039	566850	521580	510234	530003	531733	515767	554035	341	367	362	126056	123866	127051	167677	169514	167888	135613	130620	128904	68777	67670	69517	961712	938886	916048	237407	234600	225637
1:06:21	37.1	570050	574655	603670	557427	545763	564707	567875	547627	588973	337	339	374	130101	127175	129765	169811	172677	170365	137320	132565	131117	70698	68531	70747	959091	936037	914171	237347	233598	225949
1:11:21	37.1	598778	603946	631005	580775	570305	591531	596398	575312	621201	379	356	407	131079	128509	131999	171901	173306	171917	139037	134313	132333	70519	68800	71002	954922	922377	910227	236663	232578	226630
1:16:21	37.0	622928	628206	655051	607290	598762	619854	623942	603010	647549	382	354	391	132748	130309	133563	172777	175286	173072	139933	135208	133565	71161	69917	71969	956621	926411	911084	236753	232546	226334
1:21:21	37.1	642691	651429	686106	628280	617331	639928	643980	624645	670707	408	402	413	134394	132581	135091	172427	175737	173916	140470	136094	134178	71406	70150	71970	957422	923922	915413	235241	231927	226190
1:26:21	37.0	663584	670999	699407	651125	638720	660290	666681	641900	694980	396	371	377	135103	132354	135931	174036	175702	174542	141414	135494	134834	70913	69597	72624	953349	923948	911452	235236	231324	224762
1:31:21	37.0	678624	684259	718929	662740	657418	679172	682215	658403	707784	424	413	421	135341	132285	136337	173908	176785	174888	141483	137546	134992	71536	70347	72826	950953	923291	909179	236724	231965	225348
1:36:21	37.1	693163	698777	728119	674126	668410	688563	698683	669212	717202	427	403	439	135141	132885	136094	173345	177606	174403	141811	136756	135117	72002	70489	72557	949899	921251	907903	235735	231080	224825
1:41:21	37.0	701830	711082	739646	686596	677748	698227	705193	680260	731229	429	441	455	135128	133019	136205	174120	176881	174874	141494	136419	135392	71674	70084	72878	945165	920830	904541	236061	231391	226526
1:46:21	37.0	707127	714172	744443	688876	683193	707109	710472	684779	738514	485	440	447	135428	132440	136347	173105	175863	174991	142214	136171	135029	71673	69949	72987	946124	919538	904971	236758	230843	225389
1:51:21	37.1	713591	720985	752604	698974	691297	712348	718964	695877	744083	481	475	462	135794	132517	137233	173951	175934	175213	141497	136683	135469	71885	70316	72960	946842	920852	903228	234878	231506	225768
1:56:21	37.0	713565	726207	755040	706455	695852	720011	725777	698814	747156	474	494	494	134684	132090	136363	173689	176579	174546	142001	137502	135160	71665	70227	73011	946297	916185	903201	234273	230611	225744
2:01:21	37.1	715749	724659	755969	706159	696601	721745	726196	698251	753473	484	470	490	134855	132628	136693	174388	176125	175330	140700	137008	134816	71973	70459	73148	942832	914470	906505	234166	231179	224843
2:06:21	37.0	723852	730256	760277	709801	699365	721518	731888	701550	754928	487	508	510	135695	133746	136741	174674	176619	175921	142373	138302	135048	72009	70307	73725	945347	916406	901668	234806	230985	226454
2:11:21	37.0	719735	726811	760462	708213	699489	723361	732845	698751	753581	527	556	518	134686	132684	136023	173644	176497	175244	142020	137630	135578	72026	70024	73234	944389	916712	902613	233729	230447	226215
2:16:21	37.0	716065	727677	756037	702278	695830	720709	726337	702456	750917	563	536	564	134430	132406	135394	173058	176159	174978	141654	138131	134471	71780	70249	73037	942056	910409	905477	233429	230914	225975
2:21:21	37.0	717345	728036	762030	707408	698177	722447	731341	702498	755481	551	545	538	134492	132382	134939	173736	177533	175336	140990	137224	135520	71678	70155	72877	937285	913235	898765	234580	231653	224714
2:26:21	37.1	720522	728159	758397	708545	701024	721340	730532	705436	755247	568	530	570	133648	132320	134802	173320	176300	175638	141736	137651	134590	71411	70222	72939	942420	912200	902108	235686	232587	226337
2:31:21	37.1	719367	730506	757620	708195	699039	720525	730383	705726	754545	566	575	609	135028	132248	135151	174380	175050	174852	140822	137151	135408	71875	70264	73681	937044	915643	898664	233949	230905	225556
2:36:21	37.0	717831	728545	759793	707755	695777	721855	728370	703061	749744	620	584	584	134539	130975	135062	172649	175474	174779	140847	136486	134440	71651	69936	72948	942351	910685	896980	234209	232083	225340
2:41:21	37.1	718894	729266	759628	705634	701654	724936	729880	703167	752643	603	578	595	134037	131506	135513	173323	175107	174365	141368	136768	133839	71416	69587	72638	934093	908475	899091	234371	230449	226217
2:46:21	37.0	722767	728785	757834	707147	694262	723281	728549	703066	751413	613	606	632	133341	131302	135187	173236	175138	175051	140652	137092	134729	71569	70301	73362	934087	909457	895365	233643	232084	225804
2:51:21	37.0	718068	728378	759010	706758	696153	723313	729728	704460	751002	639	630	628	133428	131036	134666	172516	175367	174268	140882	136492	134450	71282	70162	72860	935181	908982	894777	233931	229583	224650
2:56:21	37.0	717044	722486	756444	707745	698712	722415	730324	702849	752179	646	641	622	134269	130887	134187	172962	174396	173576	141117	136538	133575	71607	69449	72713	933602	913466	899812	234567	230874	225526
3:01:21	37.1	717129	727077	757490	707238	697106	721976	727406	700591	747995	691	635	666	133245	130667	134514	172992	174351	173943	140343	136226	134283	71546	70185	73146	935538	912996	899658	233853	230396	226464
3:06:21	37.1	717136	726977	755866	706518	699630	724842	730534	702294	750449	667	688	651	133498	130885	134355	172198	174075	174252	140413	136091	133803	71500	69718	73257	936256	913187	900243	234650	232816	226246
3:11:21	37.0	719416	726444	757838	703004	699396	720665	726380	699514	749650	689	696	732	132775	130658	133971	171728	174048	173105	140277	136726	134274	71554	69798	72732	934656	908033	894504	232858	230098	226333
3:16:21	37.0	715921	725821	756546	705533	697248	721000	725823	703908	750602	718	661	701	132899	130455	133818	172038	174126	173823	140330	136500	134098	71299	70087	72943	931215	906403	894195	233631	231650	225328
3:21:21	37.1	715370	725954	756999	702603	698038	723731	727685	702610	751233	746	742	700	133042	129996	133092	171796	174726	173786	140143	136209	133853	71360	69542	73231	933311	903785	893618	234006	231557	226452
3:26:21	37.1	716282	723498	754884	705820	696497	719061	724515	700582	752599	759	692	718	132826	130409	133905	172471	174028	173602	140819	136214	133909	71458	69732	73150	931334	906942	894972	233831	230947	225460
