

Software Version	3.16.10



Experiment File Path:	C:\Users\bnext\Documents\Biotek\experiments\20250611-cytation3-pure-timecourse-gfp-ppk-mg-sweep.xpt
Protocol File Path:	C:\Users\bnext\Documents\Biotek\protocols\cytation3-pure-timecourse-gfp.prt



Plate Number	Plate 1
Date	6/11/2025
Time	4:18:05 PM
Reader Type:	Cytation3
Reader Serial Number:	130723A
Reading Type	Reader

Procedure Details

Plate Type	Greiner 384 SV NoBind AutoMap (Use plate lid)
Well Selection	Runtime
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
Start Kinetic	Runtime 6:00:00 (HH:MM:SS), Interval 0:05:00, 73 Reads
    Read	GFP-F-G35
	Fluorescence Endpoint
	Full Plate
	Filter Set 1 (2)
	    Excitation: 485/20,  Emission: 528/20
	    Mirror: Top 510 nm,  Gain: 35
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 11.5 mm
    Read	GFP-M-G100
	Fluorescence Endpoint
	Full Plate
	Filter Set 1
	    Excitation: 485,  Emission: 528
	    Optics: Top,  Gain: 75
	Light Source: Xenon Flash,  Lamp Energy: High
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10
	Read Height: 10.75 mm
End Kinetic	
Set Temperature	Incubator off

Layout
2:25:00	37.0	37124	41634	71444	78943	82596	80064	82216	82584	84485	80619	80995	76220	75005	74221	73863	68685	69715	68542	67109	66108	57560	59539	85498	85284
2:30:00	37.0	38640	43120	73001	79208	82714	80378	82461	82678	84834	80956	81341	76332	75545	74453	74369	69150	70612	68534	67168	66350	57978	60363	85735	85450
2:35:00	37.0	40149	44858	74362	79277	82724	80491	82841	82716	84807	81122	81509	76783	75604	74804	74332	69710	70329	69243	67517	66836	58265	60712	86409	85748
2:40:00	37.0	41535	46325	75555	79722	83206	80839	82837	83177	85090	81689	81946	77265	75839	74755	74795	69271	70495	69121	67760	66825	58516	61204	86723	85934
2:45:00	37.0	43075	47743	76923	79840	83271	80981	82865	83301	85611	81522	81545	76889	75971	75286	75008	69670	71022	69319	68077	67306	58439	61866	86946	86340
2:50:00	37.0	44654	49355	77586	80168	83734	81453	83407	83559	85893	81529	81964	77140	76442	75591	75360	70046	71152	69421	68111	67262	58705	61962	87552	86536
2:55:00	37.0	46021	50858	78921	80248	83754	81857	83179	83855	85535	81608	82203	77172	76388	75420	74872	69925	71367	69708	67981	67432	58735	62181	86982	86431
3:00:00	37.0	47375	52235	79077	80439	83705	81830	83149	83665	85824	81499	81926	77553	76179	75685	75285	70307	71182	70018	68297	67387	59045	62205	87540	87260
3:05:00	37.0	48789	53771	79997	80553	83850	81776	83225	83821	85921	82033	82394	77357	76599	75911	75682	70159	71569	70210	68344	67483	59143	62539	87740	87200
3:10:00	37.0	50205	55191	80678	80293	83760	81551	83416	83775	86173	82012	82199	77502	76617	75931	75362	70457	71696	69992	68294	67669	59029	62284	87698	86861
3:15:00	37.0	51570	56536	80799	80529	83601	82018	83611	83956	85809	81937	82719	77381	76487	76018	75628	70287	72031	70399	68572	67709	59211	62642	87830	87142
3:20:00	37.0	52743	57568	81158	80158	83884	82019	83416	83989	85943	82019	82158	77743	76690	75968	75642	70491	71911	70261	68622	68076	59563	63006	87795	87321
3:25:00	37.0	53957	58781	81798	80323	83957	82080	83574	83991	85932	82244	82580	77551	76538	76246	75977	70666	71806	70425	69047	67869	59573	62668	87594	87238
3:30:00	37.0	54988	59524	81773	80369	84155	81839	83587	84177	86302	82125	82812	77749	76779	76551	75765	70580	71867	70438	68662	68035	59711	63202	87447	86715
3:35:00	37.0	56172	60507	81931	80496	83913	81828	83588	83932	86098	82564	82515	77846	76812	76583	76030	70712	71843	70706	68901	68202	59670	62837	88100	87261
3:40:00	37.0	57171	61552	82281	80501	84396	82298	83786	84103	86123	82274	82439	77730	76764	76815	76047	70560	71900	70472	68960	68229	59560	62829	87823	86710
3:45:00	36.9	57575	61839	82167	80208	84130	82240	83722	83719	86111	82285	82489	77834	76723	76398	76248	70724	71895	70665	68746	68334	59664	62725	87909	87202
3:50:00	37.0	57885	62277	82151	80369	84271	82267	83429	83791	86272	82239	82767	77805	77021	76432	75953	70808	71966	70653	69143	68443	59720	63164	87989	87315
3:55:00	37.0	58387	62660	82389	80540	84152	81707	83722	84166	86037	82429	83002	77602	76722	76473	76026	71003	72520	71068	69105	68206	59689	63077	88004	86770
4:00:00	37.0	58893	62949	82122	80493	84392	82261	83426	83779	86126	82272	82839	78148	76893	76612	76197	70720	72327	70942	69250	68390	59965	62865	87584	87139
4:05:00	37.0	59004	63309	82483	80288	84168	82194	83502	84364	86334	82373	82880	77851	76988	76683	76527	71199	72716	70674	69337	68577	59741	63093	88307	87266
4:10:00	37.0	59356	63493	82302	80587	84384	82259	83958	84630	86216	82469	82895	77997	77057	76969	76519	71168	72676	70977	69258	68648	59914	63069	87542	87200
4:15:00	37.0	59641	63671	82725	80539	84068	82036	83833	84230	86148	82064	83061	78121	77282	76614	76110	71157	72073	71100	69324	68500	59858	63166	87296	86639
4:20:00	37.0	59856	63940	82452	80768	84760	82204	83794	84139	86260	82316	83181	78119	77086	76836	76551	71234	72517	71174	69301	68588	60020	63050	87435	86789
4:25:00	37.0	59706	63922	82733	80503	84348	82056	83770	84482	86415	82364	82967	78182	77080	76632	76401	71527	72489	71130	69586	68379	59946	63300	87387	86626
4:30:00	37.0	60204	64030	82733	80402	84623	82157	83683	84254	86369	82643	83102	77947	77259	76743	76821	71594	72534	71148	69361	68635	60068	63100	87380	87011
4:35:00	37.0	60147	64321	82643	80566	84749	82074	83901	83908	86917	82428	82937	78336	77421	76818	76496	71170	72466	71084	69431	68618	60056	63274	87206	86766
4:40:00	37.0	60387	64237	82681	80424	84450	81987	83994	83916	86538	82328	82854	77925	77267	77011	76575	71415	72386	70826	69370	68634	60374	63034	87458	86741
4:45:00	37.0	60283	64550	82639	80488	84459	82195	84226	84261	86449	82356	83235	77947	77611	77122	76555	71217	72362	71023	69251	68624	59960	63205	87572	86923
4:50:00	37.0	60455	64700	82689	80433	84232	82474	83594	84534	86497	82267	83129	78201	77492	77188	76595	71421	72971	71272	69288	68549	59978	63311	87578	86978
4:55:00	37.0	60408	64706	82980	80617	84214	82370	83982	84315	86483	82546	83073	78204	77165	77135	76449	71565	72758	71214	69505	68905	59934	63367	87107	86893
5:00:00	37.0	60632	64600	82834	80271	84217	81995	83574	84196	86442	82391	83226	77970	77440	76864	76422	71407	72559	71271	69522	68762	60150	63141	87146	87062
5:05:00	37.0	60774	64986	82737	80331	84161	82457	83916	84097	86072	82407	83079	78157	77414	77208	76824	71547	72868	71143	69370	68684	60320	63296	87009	86732
5:10:00	37.0	60560	64727	82463	80292	84772	81969	84009	84462	86383	82371	83608	78035	77321	76938	76421	71188	72561	71391	69663	68504	60195	63048	87635	86551
5:15:00	37.0	60863	64884	82959	80326	84346	82095	83782	84146	86398	82513	83173	78109	77232	77079	77067	71519	72810	71471	69462	68632	60362	63446	87164	86977
5:20:00	37.0	60751	65041	82596	80470	84593	82435	83643	84393	86845	82785	83689	78290	77112	76742	76989	71398	72940	71223	69781	68729	60124	63205	87415	86796
5:25:00	37.0	60857	65077	82736	80113	84333	82219	83902	84053	86294	82320	83169	78356	77017	76958	76650	71308	72710	71338	69462	68762	59784	62913	87235	87204
5:30:00	37.0	60921	65088	82999	80234	84788	82400	84190	84581	86929	82670	83627	78570	77548	77463	76946	71885	72796	71789	69613	68914	60325	63149	87449	86913
5:35:00	37.0	60940	65036	83001	80389	84580	82259	83991	84174	86401	82354	83256	78112	77410	77174	76946	71572	73150	71447	69806	68836	60407	62948	87106	86699
5:40:00	37.0	60898	65071	82810	80256	84538	82051	83695	84427	86546	82267	83245	78070	77177	77353	76967	71564	72976	71439	69801	68871	60404	63354	87443	86775
5:45:00	37.0	60973	65102	82771	80358	84801	82104	83690	84155	86570	82570	83062	78249	77218	77352	76772	71553	72674	71266	69621	68918	60201	63298	87315	86806
5:50:00	37.0	60905	65166	83200	80165	84886	82242	83896	84151	86204	82486	83512	77969	77059	77365	76933	71391	72774	71533	69841	68987	60115	63054	87519	86654
5:55:00	37.0	61154	64961	82938	80407	84780	82222	83660	84373	86751	82398	83228	77961	77298	77347	76920	71699	72743	71600	69840	69111	60302	63015	87423	86341
6:00:00	37.0	60896	65239	82742	80193	84640	81926	83879	84385	86240	82442	83479	77857	77299	77440	76852	71616	72643	71675	69744	68881	60246	63041	87002	86591

GFP-M-G100:485,528

Time	T° GFP-M-G100:485,528	A11	A14	A17	C11	C13	C17	E11	E14	E17	G11	G14	G17	I11	I14	I17	K11	K14	K17	M11	M14	M17	O11	O14	O17
0:00:53	37.0	12	10	13	20	5	9	11	14	9	10	16	16	13	13	11	14	6	10	11	12	12	10	16	8
0:05:53	37.0	14	0	12	10	13	18	17	6	14	16	10	9	16	11	6	12	12	25	8	13	10	9	20	5
0:10:53	37.0	16	22	27	31	37	30	30	28	24	27	24	31	26	23	18	26	22	19	24	21	20	19	29	26
0:15:53	37.0	34	41	71	84	78	91	69	73	74	61	60	71	49	59	53	57	58	53	56	50	51	35	46	45
0:20:53	37.0	112	130	278	319	283	335	231	225	221	179	157	189	128	108	119	108	103	116	103	98	93	65	98	82
0:25:53	37.0	372	443	902	1064	989	1118	777	782	737	582	520	553	367	294	307	266	267	285	274	255	215	141	204	204
0:30:53	36.9	803	928	1894	2411	2252	2493	1989	1964	1844	1552	1362	1436	998	823	785	705	699	737	721	659	507	414	570	580
0:35:53	37.0	1324	1549	3092	4045	3838	4150	3712	3659	3486	2979	2642	2854	2111	1760	1728	1559	1549	1633	1605	1462	1150	1056	1440	1455
0:40:53	37.0	1875	2160	4333	5874	5603	6070	5734	5654	5412	4664	4223	4651	3637	3056	3039	2744	2761	2929	2890	2691	2198	2185	3031	3010
0:45:53	37.0	2439	2801	5608	7877	7537	8087	7947	7876	7542	6621	5953	6595	5355	4551	4545	4175	4193	4469	4399	4175	3494	3824	5328	5193
0:50:53	37.0	2963	3402	6852	9893	9507	10159	10335	10271	9891	8622	7853	8729	7188	6152	6198	5630	5734	6102	6028	5778	4951	5780	8116	7938
0:55:53	37.0	3526	3993	8189	12005	11631	12294	12780	12668	12338	10855	9814	10882	9145	7818	7940	7258	7366	7870	7712	7437	6466	8073	11260	10901
1:00:53	37.0	3995	4604	9496	14122	13759	14547	15367	15289	14804	13047	11881	13131	11121	9653	9669	8914	8980	9624	9376	9092	8065	10335	14567	14086
