Well Label,Sample Name,Type,Size [kDa],Conc. (ng/ul),% Purity,Migration Time(sec) - Start,Migration Time(sec) - End
E02,PM bnext 16,T7RNAP,100.193753246982,74.4005989057074,5.16813196237369,25.2517629635603,25.9351440074586
E02,PM bnext 16,ValRS,108.507547460025,27.2504892540044,1.89291654335241,25.9373787525475,26.2874333501076
E02,PM bnext 16,,112.142779783756,13.3944901430066,0.930429239091264,26.2883733452148,26.6384404601479
E02,PM bnext 16,,124.805718176755,8.84526481777828,0.614423761270458,27.0251221176658,27.4250006200234
E03,PM AH 16,T7RNAP,100.434592266598,62.0516212136681,4.83123069051664,25.2522978222938,25.952361524298
E03,PM AH 16,ValRS,108.986037621242,25.1037350757004,1.95453290296319,25.9872521149759,26.3039665410083
E03,PM AH 16,,112.135095366076,13.7220680935784,1.06837621990209,26.304517032991,26.6379076164256
E03,PM AH 16,,125.034406047626,8.41539647379316,0.655208049714896,27.0568205159126,27.4402505047394
E04,PM HZ 16,T7RNAP,100.336341875317,139.700845951167,8.91262769843697,25.1674304844589,25.867451729722
E04,PM HZ 16,ValRS,108.656632841603,47.6696177293794,3.04122392714273,25.8609634058574,26.5274830812661
E05,PM JS 16,T7RNAP,99.9787571151059,94.9918764990681,3.67214540315554,25.3305391441536,26.0137971079103
E05,PM JS 16,ValRS,108.104395948225,63.0426222637867,2.43706813762234,26.0158464004386,26.6991581893035
E06,PM PP 16,T7RNAP,99.1980851561736,62.8014483219027,4.32302228942685,25.3081617755,25.9750435087148
E06,PM PP 16,ValRS,107.463578882142,38.3299759337513,2.63849552426662,25.988265348501,26.6217188977268
E07,PM Riku 16,T7RNAP,98.5748777267529,38.7854734196566,2.72271544029397,24.7659447869424,25.1492669471709
E07,PM Riku 16,IleRS,101.738699304854,17.1074942749244,1.20093516206692,25.1492610118536,25.3825874891007
E07,PM Riku 16,ValRS,106.935394152716,38.7457317050709,2.7199255973351,25.3825780269463,25.9992263440816
E08,PM SC 16,T7RNAP,100.834022624251,73.9238925657674,4.55974203782657,25.0415476515288,25.7084330750049
E08,PM SC 16,ValRS,109.22982275364,50.1985126523358,3.09632326481709,25.6942080957464,26.3440616078957
E08,PM SC 16,,118.663021920536,5.00606966018343,0.308782255392176,26.3969333976104,26.5802454350938
E09,PM TG 16,T7RNAP,100.944420425241,62.5896742585006,3.84374077803701,25.0825809386433,25.7158952746356
E09,PM TG 16,ValRS,109.262424011225,42.1755163367716,2.59007182732538,25.7296969238541,26.3462764485838
E10,PM VB 16,T7RNAP,99.0916140648127,59.5612192088101,3.85297818921301,25.0295164728311,25.6627532411185
E10,PM VB 16,ValRS,107.31740450655,40.927313006981,2.64756239804551,25.6626737246487,26.2792444569942
C01,Factor Mix 4,T7RNAP,100.918774879843,89.1855617568694,4.0810229951819,25.9553141233534,26.3887361960619
C01,Factor Mix 4,IleRS,105.631483950516,164.216135138627,7.5143309127502,26.3764950932443,26.9930019273883
C01,Factor Mix 4,ValRS,112.948270460139,7.91890685485434,0.362359560614361,27.0497792988276,27.3664433818083
C01,Factor Mix 4,,124.684433396084,95.5159951338846,4.37069593856139,27.6602985697075,28.3934631101094
C01,Factor Mix 4,,138.959898021238,18.2273875989258,0.834063120397176,28.8558397817134,29.2559207492242
A04,PM HZ 1,T7RNAP,98.6454394563877,1424.41070901147,5.49538436823188,24.9480122656174,25.7312831917924
A04,PM HZ 1,ValRS,106.995484204245,932.708584456358,3.59839486091359,25.730504245288,26.6803998035661
A04,PM HZ 1,,124.70034874356,100.250405889786,0.386766618609574,26.7955152778462,27.4953981395809
A04,PM HZ 1,,139.32184824376,27.0719920906136,0.104443894735179,27.7941843371948,28.2940797389429
B04,PM HZ 2,T7RNAP,99.7346227288023,662.190187407898,4.68884258839146,25.0584683757539,25.7749006497947
B04,PM HZ 2,ValRS,108.072464457322,418.210355914438,2.96126787289597,25.7876242885654,26.7044435102015
B04,PM HZ 2,,124.208820883217,54.5362282316317,0.386160644487469,26.8135364249458,27.3968016672535
B04,PM HZ 2,,140.052222976697,9.4035763688836,0.0665849331507129,27.8397635400856,28.2565264673324
C04,PM HZ 4,T7RNAP,100.486266529292,296.448433097723,4.43285116946544,25.1447256755554,25.8779052181163
C04,PM HZ 4,ValRS,109.125331628167,185.637910707674,2.77587984182856,25.8762933852209,26.6594136615283
C04,PM HZ 4,,125.382621294178,32.0014170006557,0.47852342241642,26.9063635973836,27.4398230986948
D04,PM HZ 8,T7RNAP,100.647307481738,113.512328660994,3.66779464552093,25.1725845531992,25.6893727129006
D04,PM HZ 8,IleRS,104.4396046594,27.0105275015713,0.872760424454249,25.6874335505732,25.8707961521672
D04,PM HZ 8,ValRS,109.012402749058,95.0970655148838,3.07276321272494,25.8685288926263,26.61858288758
D04,PM HZ 8,,125.194823279718,14.6228276282931,0.472490781486886,26.927612797296,27.3775172190331
