experiment_id,[DNA] (nM),[PEG4K 40%] (%),[RNAse Inhib] (U/mL),IsNEB,[PMix] (mg/mL),[Ribosome] (uM),Rxn Volume (uL),[Magnesium acetate] (mM),[Creatine phosphate] (mM),[PPK] (uM),[PolyP] (mM),[Potassium glutamate] (mM),sigmoid_steady_state (ng/uL),sigmoid_rate (1/h),sigmoid_time_offset (h),success,isplamGFP
id,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,feature,regressor,regressor,regressor,classifier,feature
Mg_K_screen-20251105_090558_J4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,13.0,20.0,0.0,0.0,100.0,1.4505799606321177,1.576519788237997,1.5000010482410586,False,1
Mg_K_screen-20251105_090558_K1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,13.0,20.0,0.0,0.0,120.0,2.440701581784309,1.7810956686509871,1.3333908767740583,False,1
Mg_K_screen-20251105_090558_K2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,11.0,20.0,0.0,0.0,100.0,8.82102639450827,2.493622770509028,1.4751369183269376,True,1
Mg_K_screen-20251105_090558_K3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,100.0,0.760980171766037,1.4371257083969111,1.6666669255293067,False,1
Mg_K_screen-20251105_090558_K4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,11.0,20.0,0.0,0.0,140.0,15.565161521755288,2.5168343044985617,1.5005511044124578,True,1
Mg_K_screen-20251105_090558_L1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,13.0,20.0,0.0,0.0,140.0,4.23445408421221,1.946658821998717,1.7327252431040892,True,1
Mg_K_screen-20251105_090558_L2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,140.0,39.325352029980344,2.2261441399570776,1.4333711001753533,True,1
Mg_K_screen-20251105_090558_L3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,120.0,1.128112469814902,1.4564925440587322,1.5833340025492126,False,1
Mg_K_screen-20251105_090558_L4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,11.0,20.0,0.0,0.0,120.0,11.09476807203849,2.434288815338215,1.527570818979635,True,1
Mg_K_screen-20251105_090558_M1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,100.0,0.5235062863523605,1.7283950570903606,1.583333352952489,True,1
Mg_K_screen-20251105_090558_M2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,120.0,33.618649086567466,2.2366285125610874,1.411574082996105,True,1
Mg_K_screen-20251105_090558_M3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,140.0,1.639223458210168,1.6648248668182983,1.5000015008557224,False,1
Mg_K_screen-20251105_090558_M4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,11.0,20.0,0.0,0.0,100.0,7.122961702634417,2.331068141233646,1.563033759137321,True,1
Mg_K_screen-20251105_090558_N1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,120.0,1.419702593431828,1.5833331100278123,1.3333349431515962,False,1
Mg_K_screen-20251105_090558_N2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,100.0,22.140145521656756,2.2847227547655367,1.3616277633475482,True,1
Mg_K_screen-20251105_090558_N3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,100.0,27.30114711338166,1.9947074102116824,1.498439181040647,True,1
Mg_K_screen-20251105_090558_N4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,140.0,32.62810437995648,2.129008350420322,1.4666133116436566,True,1
Mg_K_screen-20251105_090558_O1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,15.0,20.0,0.0,0.0,140.0,2.4176312647400375,1.7777794745079507,1.4167198408511856,False,1
Mg_K_screen-20251105_090558_O2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,140.0,52.57124020854364,2.084276256415949,1.4738352888868371,True,1
Mg_K_screen-20251105_090558_O3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,120.0,38.14151564713591,2.081534679405987,1.47663885606224,True,1
Mg_K_screen-20251105_090558_O4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,120.0,26.73649820225784,2.162077440608717,1.4332995190189777,True,1
Mg_K_screen-20251105_090558_P1,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,100.0,35.942818006237964,2.088428479714165,1.4399684838385989,True,1
Mg_K_screen-20251105_090558_P2,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,120.0,46.24830149131792,2.12036251752588,1.438153915734657,True,1
Mg_K_screen-20251105_090558_P3,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,7.0,20.0,0.0,0.0,140.0,44.24601942428313,2.0918362618454034,1.455216353667065,True,1
Mg_K_screen-20251105_090558_P4,5.0,0.0,2000.0,1.0,1.8,1.8,5.0,9.0,20.0,0.0,0.0,100.0,20.54736601794817,2.2725988248337887,1.3653995501372458,True,1
